ORDER,TEAM,PLAYER,POSITION,COLLEGE,PHASE,ROUND,CONFERENCE,STATE
1,Defenders,Cardale Jones,QB,Ohio State,0: QB,1,Big Ten,Ohio
1,Roughnecks,Philip Walker,QB,Temple,0: QB,1,FBS - AAC,Pennsylvania
1,Guardians,Matt McGloin,QB,Penn State,0: QB,1,Big Ten,Pennsylvania
1,Renegades,Landry Jones,QB,Oklahoma,0: QB,1,Big 12,Oklahoma
1,Vipers,Aaron Murray,QB,Georgia,0: QB,1,SEC,Georgia
1,BattleHawks,Jordan Ta'amu,QB,Ole Miss,0: QB,1,SEC,Mississippi
1,Dragons,Brandon Silvers,QB,Troy,0: QB,1,FBS - Sun Belt,Alabama
1,Wildcats,Luis Perez,QB,Texas A&M-Commerce,0: QB,1,D2,Texas
1,Defenders,Rashard Davis,WR,James Madison,1: Skill,1,FCS,Virginia
2,Roughnecks,Connor Cook,QB,Michigan State,1: Skill,1,Big Ten,Michigan
3,Guardians,DeAngelo Yancey,WR,Purdue,1: Skill,1,Big Ten,Indiana
4,Renegades,Jeff Badet,WR,Oklahoma,1: Skill,1,Big 12,Oklahoma
5,Vipers,Nick Truesdell,TE,Grand Rapids,1: Skill,1,NJCAA,Michigan
6,BattleHawks,Christine Michael,RB,Texas A&M,1: Skill,1,SEC,Texas
7,Dragons,Trey Williams,RB,Texas A&M,1: Skill,1,SEC,Texas
8,Wildcats,Elijah Hood,RB,North Carolina,1: Skill,1,ACC,North Carolina
1,Wildcats,Rashad Ross,WR,Arizona State,1: Skill,2,Pac 12,Arizona
2,Dragons,Kenneth Farrow,RB,Houston,1: Skill,2,FBS - AAC,Texas
3,BattleHawks,Brogan Roback,QB,Eastern Michigan,1: Skill,2,FBS - MAC,Michigan
4,Vipers,Seantavius Jones,WR,Valdosta State,1: Skill,2,D2,Georgia
5,Renegades,TommyLee Lewis,WR,Northern Illinois,1: Skill,2,FBS - MAC,Illinois
6,Guardians,Mekale McKay,WR,Cincinnati,1: Skill,2,FBS - AAC,Ohio
7,Roughnecks,Kahlil Lewis,WR,Cincinnati,1: Skill,2,FBS - AAC,Ohio
8,Defenders,Tre McBride,WR,William & Mary,1: Skill,2,FCS,Virginia
1,Defenders,Jhurell Pressley,RB,New Mexico,1: Skill,3,FBS - Mountain West,New Mexico
2,Roughnecks,Sammie Coates,WR,Auburn,1: Skill,3,SEC,Alabama
3,Guardians,Tanner Gentry,WR,Wyoming,1: Skill,3,FBS - Mountain West,Wyoming
4,Renegades,Cameron Artis-Payne,RB,Auburn,1: Skill,3,SEC,Alabama
5,Vipers,De'Veon Smith,RB,Michigan,1: Skill,3,Big Ten,Michigan
6,BattleHawks,De'Mornay Pierson-El,WR,Nebraska,1: Skill,3,Big Ten,Nebraska
7,Dragons,Fred Ross,WR,Mississippi State,1: Skill,3,SEC,Mississippi
8,Wildcats,Nelson Spruce,WR,Colorado,1: Skill,3,Pac 12,Colorado
1,Wildcats,Brandon Barnes,TE,Alabama State,1: Skill,4,FCS,Alabama
2,Dragons,Jace Amaro,TE,Texas Tech,1: Skill,4,Big 12,Texas
3,BattleHawks,L'Damian Washington,WR,Missouri,1: Skill,4,SEC,Missouri
4,Vipers,Jalen Tolliver,WR,Arkansas-Monticello,1: Skill,4,D2,Arkansas
5,Renegades,Stacy Coley,WR,Miami (FL),1: Skill,4,ACC,Florida
6,Guardians,Tim Cook,RB,Oregon State,1: Skill,4,Pac 12,Oregon
7,Roughnecks,Kyle Hicks,RB,TCU,1: Skill,4,Big 12,Texas
8,Defenders,DeAndre Thompkins,WR,Penn State,1: Skill,4,Big Ten,Pennsylvania
1,Defenders,Khari Lee,TE,Bowie State,1: Skill,5,D2,Maryland
2,Roughnecks,Deontez Alexander,WR,Franklin,1: Skill,5,D3,Indiana
3,Guardians,Demarcus Ayers,WR,Houston,1: Skill,5,FBS - AAC,Texas
4,Renegades,Sean Price,TE,South Florida,1: Skill,5,FBS - AAC,Florida
5,Vipers,Quinton Flowers,RB,South Florida,1: Skill,5,FBS - AAC,Florida
6,BattleHawks,Wes Saxton,TE,South Alabama,1: Skill,5,FBS - Sun Belt,Alabama
7,Dragons,Keenan Reynolds,WR,Navy,1: Skill,5,FBS - AAC,Maryland
8,Wildcats,Larry Rose,RB,New Mexico State,1: Skill,5,FBS - Sun Belt,New Mexico
1,Wildcats,KD Cannon,WR,Baylor,1: Skill,6,Big 12,Texas
2,Dragons,Evan Rodriguez,TE,Temple,1: Skill,6,FBS - AAC,Pennsylvania
3,BattleHawks,Marcus Lucas,WR,Missouri,1: Skill,6,SEC,Missouri
4,Vipers,Cole Wick,TE,Incarnate Word,1: Skill,6,FCS,Texas
5,Renegades,Kelvin McKnight,WR,Samford,1: Skill,6,FCS,Alabama
6,Guardians,EJ Bibbs,TE,Iowa State,1: Skill,6,Big 12,Iowa
7,Roughnecks,Cam Phillips,WR,Virginia Tech,1: Skill,6,ACC,Virginia
8,Defenders,Orson Charles,TE,Georgia,1: Skill,6,SEC,Georgia
1,Defenders,Donnel Pumphrey,RB,San Diego State,1: Skill,7,FBS - Mountain West,California
2,Roughnecks,Jalen Saunders,WR,Oklahoma,1: Skill,7,Big 12,Oklahoma
3,Guardians,Keith Towbridge,TE,Louisville,1: Skill,7,ACC,Kentucky
4,Renegades,Philip Nelson,QB,East Carolina,1: Skill,7,FBS - AAC,North Carolina
5,Vipers,Rannell Hall,WR,UCF,1: Skill,7,FBS - AAC,Florida
6,BattleHawks,Matt Jones,RB,Florida,1: Skill,7,SEC,Florida
7,Dragons,Kasen Williams,WR,Washington,1: Skill,7,Pac 12,Washington
8,Wildcats,Martez Carter,RB,Grambling State,1: Skill,7,FCS,Louisiana
1,Wildcats,Keyarris Garrett,WR,Tulsa,1: Skill,8,FBS - AAC,Oklahoma
